FAMI predictions 	1.04 	1.67 	0.93 	1.07 	251824075 	40.79%
MTP predictions 	2.69 	4.33 	2.60 	2.72 	150683900 	45.45%
SNDL predictions 	0.55 	0.56 	0.43 	0.45 	54368506 	-35.71%
VAL predictions 	0.38 	0.38 	0.30 	0.33 	49147650 	-10.81%
SMRT predictions 	0.14 	0.16 	0.10 	0.11 	41219987 	-8.33%
PRTY predictions 	2.13 	2.85 	2.10 	2.60 	33448200 	28.08%
TBLT predictions 	0.82 	0.94 	0.74 	0.76 	30385772 	10.14%
IGC predictions 	2.08 	2.24 	1.66 	1.80 	26491100 	-29.13%
CREG predictions 	4.43 	4.85 	3.01 	3.18 	25822498 	11.58%
SKYS predictions 	3.22 	5.28 	3.22 	4.77 	21547281 	51.91%
HX predictions 	1.42 	1.60 	1.01 	1.06 	14104530 	-57.26%
ZSAN predictions 	1.36 	1.75 	1.35 	1.64 	13756700 	20.59%
ADMP predictions 	1.13 	1.14 	0.91 	0.95 	13066100 	-6.86%
ONTX predictions 	1.00 	1.00 	0.78 	0.95 	12996000 	-5.94%
CLUB predictions 	0.49 	0.76 	0.45 	0.69 	11725420 	46.81%
NMTR predictions 	0.48 	0.58 	0.47 	0.57 	6110863 	18.75%
NTN predictions 	3.35 	3.90 	2.90 	3.13 	5635800 	-26.35%
HTGM predictions 	0.52 	0.52 	0.43 	0.46 	5422700 	-11.54%
GNPX predictions 	3.64 	4.46 	3.52 	4.29 	4177100 	19.50%
WYY predictions 	0.83 	0.84 	0.67 	0.75 	4026400 	-19.35%
ENSV predictions 	0.15 	0.16 	0.13 	0.15 	3061042 	-6.25%
OPTT predictions 	1.38 	1.44 	1.15 	1.18 	3054814 	-20.27%
KGJI predictions 	0.38 	0.47 	0.33 	0.42 	3043400 	13.51%
HHT predictions 	1.02 	1.02 	0.84 	0.90 	2813500 	-14.29%
REFR predictions 	3.01 	3.04 	2.34 	2.57 	2292852 	-14.90%
LLIT predictions 	0.41 	0.54 	0.40 	0.47 	2256800 	14.63%
ACER predictions 	4.92 	4.94 	3.78 	3.85 	2164558 	-26.67%
BGI predictions 	0.91 	0.99 	0.75 	0.88 	2151945 	-11.11%
CPSH predictions 	2.16 	2.34 	1.90 	1.97 	2021100 	-9.63%
ALNA predictions 	1.40 	1.69 	1.37 	1.54 	2011600 	8.45%
LXU predictions 	1.90 	2.36 	1.81 	2.16 	2006000 	11.34%
